customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,customer_segment
27129ce1ebca4ffa23a049c51cc8ec95,650,1,15.62,1,2,1,"Lost Customers"
3f402674c608ea67085eb5e0ec4d96ef,650,1,15.62,1,2,1,"Lost Customers"
0c9250b6e51b94c3250b3992631fb100,628,1,15.71,1,2,1,"Lost Customers"
0253cea0ff18bf585307f88ea4fbd5ab,342,1,15.75,2,3,1,"At Risk"
2e3c87a1fe28dc56e695f7584818c62b,165,1,15.77,4,4,1,"Loyal Customers"
e49cb31672822de07bf6f6b0899ee58f,180,1,15.77,3,4,1,"Loyal Customers"
f4c65e6195e766453d62cc2e15bc5d1c,337,1,15.78,2,3,1,"At Risk"
77a34d46f6ebd1dcb9b4df9ae5739226,106,1,15.79,4,1,1,"New Customers"
8f32483562a37190f3fcdaa6289b1e4e,73,1,15.84,4,1,1,"New Customers"
f785a4fc69eb2ba079b0076cd0cfa5a9,412,1,15.84,1,3,1,Others
f1d66a803249da047ccb57bee22beea6,101,1,15.86,4,1,1,"New Customers"
46b385c6d972b73cbcf797a8b16c072d,553,1,15.86,1,2,1,"Lost Customers"
371e1236f73c27c52e1d25928463c0c2,222,1,15.89,3,1,1,"New Customers"
1520225ce891e1d6768c68b12052d208,57,1,15.89,4,1,1,"New Customers"
a08d416710ced0087475eb4b4dbbb74d,248,1,16.01,3,1,1,"New Customers"
211558da2c2cdbbd6c45a9df249997f3,351,1,16.05,2,4,1,"At Risk"
8c7ff75abf2f52700bd2724b7e4a3589,134,1,16.09,4,4,1,"Loyal Customers"
255ff8d111e16367aa2404897e198547,130,1,16.09,4,4,1,"Loyal Customers"
877a19ed3db8c19e44beb8c809ce2ddc,363,1,16.22,2,4,1,"At Risk"
b3721b457de31db30b4de608d880d18c,197,1,16.29,3,4,1,"Loyal Customers"
f09da4a140386d7af34fb63abe90d9eb,145,1,16.29,4,4,1,"Loyal Customers"
8fa651e6c34125a822080f2c838ffe35,145,1,16.29,4,4,1,"Loyal Customers"
29c04628dbc04fa96b97d33891cc3597,143,1,16.29,4,4,1,"Loyal Customers"
98d5e9f64870f7a24c3cca3f403da3cd,174,1,16.29,3,4,1,"Loyal Customers"
89be18e38f73e5fa754fb173d64a9bcf,222,1,16.29,3,1,1,"New Customers"
dbb265d79cf695065da3624264c7a93e,55,1,16.29,4,1,1,"New Customers"
331eaa97fcf6d1dcfd99d6e2f9eafe0b,114,1,16.29,4,1,1,"New Customers"
79fb413fa9fc055b6da5fdcc04315f94,79,1,16.29,4,1,1,"New Customers"
85c95113b1158d7ec148427c0a223c92,52,1,16.36,4,1,1,"New Customers"
359dfe341740d8b8b0608244ebd9fc67,167,1,16.36,3,4,1,"Loyal Customers"
a750f4a0f5c69d68818cc43c3d82b707,179,1,16.36,3,4,1,"Loyal Customers"
2272103eacfced4298c7b99e2795f403,279,1,16.37,2,2,1,"At Risk"
a88d6106a6f0351a07bd7c3532e35309,162,1,16.38,4,4,1,"Loyal Customers"
048c38095a2e1fc000871b6142e6a8b9,159,1,16.38,4,4,1,"Loyal Customers"
2bd46622c473bea1ca8f10e37be933ec,135,1,16.38,4,4,1,"Loyal Customers"
64e3294ce026b7e6af1342b9985423b8,52,1,16.38,4,1,1,"New Customers"
246c65f2f57d1cf6ec961a41c2be587a,79,1,16.38,4,1,1,"New Customers"
4d5e2385658717cd75dee70afb887aca,101,1,16.39,4,1,1,"New Customers"
cd4d82ed08b7482d755adbdad4243dae,98,1,16.39,4,1,1,"New Customers"
10bc635dd02be0adfee347a616414b23,131,1,16.39,4,4,1,"Loyal Customers"
e13363e1db087b7d98c27f9b9405d793,173,1,16.39,3,4,1,"Loyal Customers"
6f5a474e3e4fab8487a01cd4eabcc91a,154,1,16.39,4,4,1,"Loyal Customers"
c5c61596a3b6bd0cee5766992c48a9a1,121,1,16.53,4,1,1,"New Customers"
1f644d50069ed395d45d2c18e3e4ceb8,159,1,16.61,4,4,1,"Loyal Customers"
e6bee29442c761ff0dfb9a4414922a5c,650,1,16.62,1,2,1,"Lost Customers"
6088f7a0127c12595d6335b10bb37a2d,646,1,16.62,1,2,1,"Lost Customers"
c4bf458dae937bd525aaf805801662a2,372,1,16.71,2,3,1,"At Risk"
34a57d208c01c5a0d4cb4cfb232e647d,164,1,16.77,4,4,1,"Loyal Customers"
a32bc3f28044954fa7641a2706dfab31,133,1,16.78,4,4,1,"Loyal Customers"
6d0ea4c9f465488073d3d51dba7b60db,320,1,16.78,2,3,1,"At Risk"
abe9f9b32ea296df01cd861052018b8a,277,1,16.78,2,2,1,"At Risk"
7cbc9e8aed4560ebfd0195b5aa3be49c,244,1,16.78,3,1,1,"New Customers"
9a862d529004b7051c686f79baba08fd,268,1,16.78,3,2,1,"Loyal Customers"
db14bb23cc4a6f37a93a9e29660eea29,240,1,16.78,3,2,1,"Loyal Customers"
c7dea15609f6f9f847e5ab841d72d8d4,254,1,16.78,3,2,1,"Loyal Customers"
35e459cd733a3cb6d98f593fcc9d67db,261,1,16.84,3,2,1,"Loyal Customers"
e1aa4b904d0a6d58cf50e0c2fb0425dc,226,1,16.84,3,1,1,"New Customers"
3bc9f7d14d203861ea755eea92e8515c,555,1,16.86,1,2,1,"Lost Customers"
73c101d5854e1ac89458e8865c0ea516,143,1,16.89,4,4,1,"Loyal Customers"
16e45d25fd633da8279d9b24b3cf58e5,181,1,16.95,3,4,1,"Loyal Customers"
3931a3c681fbb40ece9c1a9811c3a32c,564,1,16.96,1,2,1,"Lost Customers"
3cd4a0885a09ba26dfb6e3095d113f58,615,1,16.96,1,3,1,Others
3476d1493473d35c8248360967722adf,600,1,16.96,1,3,1,Others
e5fbe24aa488ae15c28edef16efd1a4c,598,1,16.96,1,3,1,Others
fce9f15b7b5a66f5a59662b601f72c58,426,1,16.98,1,3,1,Others
b8b00f5eaed92d8702f649dafb7dfd97,225,1,17.10,3,1,1,"New Customers"
0ff52546be432c8346d431ad81c0a029,427,1,17.22,1,2,1,"Lost Customers"
8dbea104c98049225865dd6fc0ea8bc6,476,1,17.24,1,2,1,"Lost Customers"
72ae281627a6102d9b3718528b420f8a,256,1,17.28,3,2,1,"Loyal Customers"
572d8ac5c8e475a51cbd27d7e1f94ae9,246,1,17.28,3,1,1,"New Customers"
aef25365c2c16bfaabe4dd0fe95cd9a2,561,1,17.29,1,2,1,"Lost Customers"
20e8ca1ff35372c5343e86cb0b3bc94c,120,1,17.29,4,1,1,"New Customers"
